mysql> select table_name, column_name from information_schema.columns where table_schema = database() and column_name like '%ser_codigo%';
+-------------------------------------+-------------+
| TABLE_NAME                          | COLUMN_NAME |
+-------------------------------------+-------------+
| ht_registro_servidor                | SER_CODIGO  |
| ht_servidor                         | SER_CODIGO  |
| ta_beneficiario                     | SER_CODIGO  |
| ta_endereco_servidor                | SER_CODIGO  |
| tb_arquivo_ser                      | SER_CODIGO  |
| tb_beneficiario                     | SER_CODIGO  |
| tb_boleto_servidor                  | SER_CODIGO  |
| tb_comunicacao_ser                  | SER_CODIGO  |
| tb_dados_servidor                   | SER_CODIGO  |
| tb_destinatario_email_ser           | SER_CODIGO  |
| tb_dirf_servidor                    | SER_CODIGO  |
| tb_endereco_servidor                | SER_CODIGO  |
| tb_informacao_csa_servidor          | SER_CODIGO  |
| tb_ocorrencia_dados_servidor        | SER_CODIGO  |
| tb_ocorrencia_servidor              | SER_CODIGO  |
| tb_registro_servidor                | ser_codigo  |
| tb_registro_servidor_temporarios    | ser_codigo  |
| tb_rel_aud_matricula_especial       | SER_CODIGO  |
| tb_rel_auditoria                    | SER_CODIGO  |
| tb_rel_auditoria_0                  | SER_CODIGO  |
| tb_rel_auditoria_1                  | SER_CODIGO  |
| tb_rel_auditoria_10                 | SER_CODIGO  |
| tb_rel_auditoria_11                 | SER_CODIGO  |
| tb_rel_auditoria_12                 | SER_CODIGO  |
| tb_rel_auditoria_13                 | SER_CODIGO  |
| tb_rel_auditoria_19                 | SER_CODIGO  |
| tb_rel_auditoria_2                  | SER_CODIGO  |
| tb_rel_auditoria_20                 | SER_CODIGO  |
| tb_rel_auditoria_21                 | SER_CODIGO  |
| tb_rel_auditoria_3                  | SER_CODIGO  |
| tb_rel_auditoria_4                  | SER_CODIGO  |
| tb_rel_auditoria_5                  | SER_CODIGO  |
| tb_rel_auditoria_6                  | SER_CODIGO  |
| tb_rel_auditoria_7                  | SER_CODIGO  |
| tb_rel_auditoria_8                  | SER_CODIGO  |
| tb_rel_auditoria_9                  | SER_CODIGO  |
| tb_rel_auditoria_matricula_especial | SER_CODIGO  |
| tb_servidor                         | ser_codigo  |
| tb_tmp_exportacao                   | ser_codigo  |
| tb_usuario_ser                      | ser_codigo  |
| tmp_boleto_servidor                 | SER_CODIGO  |
| tmp_registro_servidor               | ser_codigo  |
| tmp_tb_tmp_exportacao               | ser_codigo  |
| tmp_usuario_ser                     | ser_codigo  |
+-------------------------------------+-------------+
